S10	S11	S2	S3	S4	S5	S6	S7	S8	S9	W1	W10	W11	W12	W13	W14	W15	W16	W17	W18	W19	W2	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W3	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W4	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W5	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W6	W60	W7	W8	W9	Zymo.Pos.Ctrl
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Microcystaceae;D_5__Microcystis PCC-7914	0	0	0	0	0	0	0	0	0	0.00686912509038322	0.0663101604278075	0.0454545454545455	0.0592334494773519	0	0	0.0810810810810811	0.0535714285714286	0.0786384976525822	0.118429807052562	0.0735068912710567	0.0235294117647059	0.0816802800466744	0.406451612903226	0.060536398467433	0.0332906530089629	0.0387257963772642	0.0784172661870504	0.0528846153846154	0.066468253968254	0.0371517027863777	0.0866261398176292	0	0.0523897058823529	0.0171428571428571	0.0464659685863874	0.023030303030303	0	0.038006230529595	0.0204802259887006	0.09688995215311	0.036950146627566	0.038751887267237	0.0372706422018349	0.0690817186183656	0.0607769423558897	0.0184438040345821	0.0397967823878069	0.0272232304900181	0.0426980198019802	0.0457943925233645	0.0713785864240728	0.0341701534170153	0.0110100526567736	0.0280701754385965	0	0.038961038961039	0.0471092077087794	0.034163288940359	0.0259365994236311	0.00851393188854489	0.025382932166302	0.0232142857142857	0.0345572354211663	0.043205574912892	0.0248112189859763	0.0431654676258993	0.032967032967033	0	0	0	0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307	0	0	0	0.135135135135135	0	0	0	0	0	0	0.0331550802139037	0.132411067193676	0.0754936120789779	0.177985948477752	0.0490740740740741	0.0861943024105186	0.0902255639097744	0.0669014084507042	0.0825016633399867	0.0742725880551302	0.0664359861591696	0.0688448074679113	0.0311827956989247	0.0766283524904215	0.087067861715749	0.0699562773266708	0.0589928057553957	0.0759615384615385	0.134920634920635	0.0487616099071207	0.0516717325227964	0.0708571428571429	0.0487132352941176	0.0653968253968254	0.0785340314136126	0.0739393939393939	0.0477594339622642	0.0791277258566978	0.103813559322034	0.097488038277512	0.0909090909090909	0.0437845998993457	0.0865825688073394	0.0825610783487784	0.105889724310777	0.0414985590778098	0.120237087214225	0.0576225045372051	0.073019801980198	0.0672897196261682	0.0489853044086774	0.112273361227336	0.0665390138822403	0.0842105263157895	0.105381165919283	0.140422077922078	0.104389721627409	0.112912565141864	0.0716344174557431	0.0684984520123839	0.0857768052516411	0.110714285714286	0.120950323974082	0.086411149825784	0.0809061488673139	0.072841726618705	0.112781954887218	0.125274725274725	0.0534223706176962	0.0770625566636446	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae;D_5__MM2	0	0	0	0	0	0	0.0252100840336134	0	0	0.0184381778741865	0.0342245989304813	0.0217391304347826	0.0894308943089431	0.0515222482435597	0.0111111111111111	0.014609203798393	0.0488721804511278	0.0176056338028169	0.0166333998669328	0.0321592649310873	0.0173010380622837	0.0431738623103851	0.0354838709677419	0.00689655172413793	0.0153649167733675	0.0218613366645846	0.018705035971223	0.0173076923076923	0.0218253968253968	0.0309597523219814	0.0250759878419453	0.0234285714285714	0.0183823529411765	0.0146031746031746	0.0157068062827225	0.0327272727272727	0.0277122641509434	0.0342679127725857	0.0331920903954802	0.0221291866028708	0.00997067448680352	0.01157523905385	0.0137614678899083	0.0320134793597304	0.0288220551378446	0	0	0.0176950998185118	0.0266089108910891	0	0.059482155353394	0.0362622036262204	0.0181905217807563	0.0215538847117795	0.0269058295964126	0.0357142857142857	0.0117773019271949	0.0214244354371743	0.0168793742280774	0.0181888544891641	0.0140043763676149	0.0148809523809524	0.0215982721382289	0.0195121951219512	0.0339805825242718	0.0224820143884892	0.0138808559861191	0.0736263736263736	0.0434056761268781	0.0262919310970082	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales;D_4__Methylococcaceae;__	0	0.0165809033733562	0	0	0	0	0	0	0.0247100353000504	0.0086767895878525	0.0417112299465241	0	0.0348432055749129	0.0515222482435597	0.0916666666666667	0	0.0545112781954887	0.0258215962441315	0.051230871590153	0.0451761102603369	0.0318339100346021	0	0	0.0544061302681992	0.0441741357234315	0.0580886945658963	0.0143884892086331	0.143269230769231	0.0307539682539683	0.031733746130031	0.0296352583586626	0.0445714285714286	0.03125	0.0101587301587302	0.0647905759162304	0.0357575757575758	0.0365566037735849	0.0224299065420561	0.0162429378531073	0.0305023923444976	0.0334310850439883	0.0236537493709109	0.0298165137614679	0.0775063184498736	0.0213032581453634	0.0582132564841499	0.0491109229466554	0.0186025408348457	0.0352722772277228	0.0205607476635514	0.032890132960112	0.0585774058577406	0.0349449497367161	0.0360902255639098	0	0.0422077922077922	0.0481798715203426	0.0156340474811812	0.0255249073692878	0.0259287925696594	0.0205689277899344	0.031547619047619	0.0280777537796976	0.0181184668989547	0.0194174757281553	0.0449640287769784	0.0260266049739734	0	0.0868113522537563	0.043517679057117	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Limnohabitans	0	0	0	0	0	0	0	0	0	0	0.0566844919786096	0	0	0.0398126463700234	0.037037037037037	0.0489408327246165	0.068609022556391	0.0539906103286385	0.0312707917498337	0.0359877488514548	0	0.0571761960326721	0	0.0505747126436782	0	0.0349781386633354	0.0266187050359712	0.0701923076923077	0	0.0588235294117647	0.0281155015197568	0.06	0.0404411764705882	0.0393650793650794	0.0176701570680628	0.0666666666666667	0.0318396226415094	0.0473520249221184	0	0.0161483253588517	0.0105571847507331	0.0251635631605435	0	0.0522325189553496	0.0244360902255639	0.0749279538904899	0.0330228619813717	0.0226860254083485	0	0.0401869158878505	0	0	0.0292005744375299	0	0.0571748878923767	0.0470779220779221	0.0235546038543897	0.0295309785755646	0.0333470564018114	0.028250773993808	0.0218818380743982	0	0.0323974082073434	0	0.0275080906148867	0.052158273381295	0.0416425679583574	0	0.0734557595993322	0.0471441523118767	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Methylocystis	0.0882352941176471	0.0245854774156661	0.0230630630630631	0.0682788051209104	0.0405117270788913	0.0198142414860681	0.0465416936005171	0.0230226513182325	0.0201714573877963	0.0318148951554591	0.0352941176470588	0.0237154150197628	0	0.0304449648711944	0.0296296296296296	0.0409057706355004	0.0319548872180451	0.0293427230046948	0.0239520958083832	0	0.0290657439446367	0.0466744457409568	0.0354838709677419	0	0.0454545454545455	0.0399750156152405	0	0.0528846153846154	0.0615079365079365	0.0356037151702786	0.0531914893617021	0	0.0413602941176471	0.0507936507936508	0.0281413612565445	0.0327272727272727	0.0336084905660377	0.0448598130841121	0.0437853107344633	0.0340909090909091	0.0551319648093842	0.0306995470558631	0.0418577981651376	0.0311710193765796	0.0576441102756892	0.0311239193083573	0.044030482641829	0.0353901996370236	0.051980198019802	0.0841121495327103	0.0636808957312806	0.0683403068340307	0.048348492101484	0.0441102756892231	0.0336322869955157	0.0511363636363636	0.0224839400428266	0.0602200347423277	0	0.049922600619195	0.0280087527352298	0.0470238095238095	0.0568754499640029	0.0348432055749129	0.0339805825242718	0.0116906474820144	0.0358588779641411	0.043956043956044	0.0383973288814691	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae;D_5__Steroidobacter	0	0	0	0	0	0.00495356037151703	0	0	0	0	0.0855614973262032	0.101778656126482	0.0754936120789779	0.076112412177986	0.10462962962963	0	0.100563909774436	0.0293427230046948	0.0485695276114438	0.060490045941807	0.0519031141868512	0.0688448074679113	0.0182795698924731	0.0804597701149425	0	0.0649594003747658	0.112230215827338	0	0.0446428571428571	0.0665634674922601	0.0957446808510638	0.0588571428571429	0.0726102941176471	0.0488888888888889	0.0556282722513089	0	0.0619103773584906	0.0423676012461059	0.0600282485875706	0.0370813397129187	0.0281524926686217	0.0483140412682436	0.0470183486238532	0.0808761583824768	0.043859649122807	0.0380403458213256	0.0381033022861981	0.0549001814882033	0.0810643564356436	0	0.0237928621413576	0.0355648535564854	0.0823360459550024	0.0531328320802005	0.100896860986547	0.0349025974025974	0.0438972162740899	0.0347423277359583	0.030465212021408	0.0259287925696594	0.0183807439824945	0.0369047619047619	0.046796256299496	0.0606271777003484	0.0560949298813377	0	0	0.0934065934065934	0	0.0698096101541251	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Solitalea	0	0	0	0	0	0	0	0	0	0	0	0.0316205533596838	0.0394889663182346	0.053864168618267	0.0574074074074074	0.0657414170927684	0.0488721804511278	0.0223004694835681	0.0292747837658017	0.05895865237366	0.073356401384083	0.0396732788798133	0.00967741935483871	0	0.0345710627400768	0	0.020863309352518	0.0307692307692308	0.0178571428571429	0.0263157894736842	0.0258358662613982	0.0268571428571429	0.0330882352941176	0.0571428571428571	0.0281413612565445	0.023030303030303	0.035377358490566	0.0598130841121495	0.0353107344632768	0.0191387559808612	0.0211143695014663	0.0619023653749371	0.0166284403669725	0.0303285593934288	0	0.0230547550432277	0.0279424216765453	0.0158802177858439	0.0253712871287129	0.0289719626168224	0.0181945416375087	0	0.0186692197223552	0.0205513784461153	0.0190582959641256	0	0.0256959314775161	0.0411117544875507	0.0440510498147386	0.0178018575851393	0.0301969365426696	0.0404761904761905	0.0359971202303816	0.0655052264808362	0.0512405609492988	0.026978417266187	0	0	0.0484140233722871	0.0299184043517679	0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__uncultured;D_4__uncultured bacterium;D_5__	0	0	0	0	0	0	0	0	0	0	0.0556149732620321	0	0.0336817653890825	0	0.0342592592592593	0.029218407596786	0.0394736842105263	0.0205399061032864	0.0232867598137059	0.0436447166921899	0.0498269896193772	0.0490081680280047	0	0.0421455938697318	0.0435339308578745	0.0368519675202998	0.0273381294964029	0.0403846153846154	0.0248015873015873	0.043343653250774	0.0425531914893617	0.0445714285714286	0.0404411764705882	0	0.0320680628272251	0.0260606060606061	0.0330188679245283	0.0161993769470405	0.0508474576271186	0.0167464114832536	0	0.0548565676899849	0.0235091743119266	0.0438079191238416	0.0275689223057644	0.031700288184438	0.0364098221845893	0	0.0340346534653465	0.0252336448598131	0.0279916025192442	0.0160390516039052	0.0430828147438966	0.0390977443609023	0.0369955156950673	0.0121753246753247	0.0246252676659529	0.0162130862767805	0.0144092219020173	0.0197368421052632	0.0161925601750547	0.0202380952380952	0.0295176385889129	0.062020905923345	0.0177993527508091	0.0368705035971223	0.0231347599768652	0.0461538461538462	0.0534223706176962	0.0326382592928377	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola	0	0.00114351057747284	0	0	0	0	0	0.00371333085777943	0	0	0.0759358288770054	0.0612648221343874	0.0336817653890825	0.022248243559719	0.0361111111111111	0.0598977355734112	0.0469924812030075	0.0246478873239437	0.0312707917498337	0.0750382848392037	0.041522491349481	0.0186697782963827	0	0.0505747126436782	0.0243277848911652	0.079950031230481	0.0618705035971223	0.0432692307692308	0.060515873015873	0.0325077399380805	0.0623100303951368	0.0394285714285714	0.0496323529411765	0.033015873015873	0.0471204188481675	0.0436363636363636	0.0389150943396226	0	0	0.0311004784688995	0.0392961876832845	0.042778057372924	0.0573394495412844	0.0530749789385004	0.0194235588972431	0.0386167146974063	0.0389500423370025	0.0376588021778584	0.0433168316831683	0.0336448598130841	0.0279916025192442	0.0334728033472803	0.025849688846338	0.0235588972431078	0.0930493273542601	0.0154220779220779	0.034796573875803	0.0185292414591778	0.0395224372169617	0.0356037151702786	0.0288840262582057	0.0398809523809524	0.0388768898488121	0.0822299651567944	0.0609492988133765	0.0557553956834532	0.0138808559861191	0.0527472527472527	0	0.0453309156844968	0
