index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__uncultured;D_4__uncultured bacterium;D_5__,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,29,0,37,40,42,35,35,57,72,42,0,55,68,59,38,42,25,56,56,78,44,0,49,43,56,26,72,28,0,109,41,52,44,55,43,0,55,27,40,23,90,78,33,15,46,28,35,51,37,34,41,89,33,41,40,42,32,36,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,9,71,62,29,19,39,82,50,42,47,98,60,16,0,66,38,128,86,45,61,42,82,69,54,52,72,72,66,0,0,52,67,85,100,63,31,67,46,83,70,36,40,48,54,47,83,19,65,32,96,92,66,67,54,118,113,62,24,48,0,50,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Polynucleobacter,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,45,25,53,0,31,44,33,38,49,0,0,50,63,40,32,52,13,64,43,49,33,54,42,75,49,78,36,28,32,67,39,23,40,67,37,35,29,53,44,42,52,58,22,44,72,61,48,69,51,60,0,40,62,0,113,39,47,35,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__uncultured,0,0,0,0,2,0,0,0,0,0,13,38,0,19,0,22,61,88,19,61,44,72,77,102,86,102,111,17,12,89,108,96,51,56,0,79,21,69,82,104,95,96,112,86,103,30,56,45,111,10,81,138,81,119,80,19,52,85,121,122,53,77,96,126,112,108,138,119,86,38,59,87,102,122,44,45,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Vischeria sp. CAUP Q 202;D_5__,0,0,0,0,0,56,0,33,0,0,23,25,95,0,0,0,0,35,0,19,0,0,0,0,54,0,0,0,60,37,31,0,0,0,77,28,24,0,0,0,48,0,0,0,34,45,0,23,36,0,59,0,0,0,0,0,57,42,0,0,0,32,0,35,45,0,37,47,41,0,34,0,42,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1;D_5__Clostridium sensu stricto 1,0,0,0,0,0,282,465,63,56,301,124,0,417,39,0,0,8,0,4,0,0,15,0,0,0,0,0,4,14,0,0,0,9,0,16,0,0,8,0,0,11,0,0,0,0,0,36,6,23,0,0,0,14,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,14,13,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__uncultured Cryptomonadaceae;D_5__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Sediminibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,33,0,0,32,0,11,23,0,13,22,0,18,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae;D_5__Candidatus Methylopumilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,23,0,0,0,0,0,0,20,0,0,14,0,31,0,24,0,25,0,0,0,23,0,0,0,19,0,0,0,31,0,0,0,0,0,18,0,32,0,0,32,26,18,31,38,23,25,0,0,0,34,15,0,15,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Caenarcaniphilales;D_4__uncultured cyanobacterium;D_5__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
