index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria,221,400,247,45,1491,2288,3286,885,1418,2033,1782,2923,2887,2894,11,318,1392,1364,1107,1293,1619,1744,1526,2102,2051,1937,2176,1204,1297,1759,2335,2104,1859,1461,1749,1647,1869,2142,1601,2215,2196,2330,2290,2233,2054,2430,2437,2531,2390,1688,2125,2116,1597,2891,1999,1440,1933,1949,2714,2733,1380,1699,2825,2409,3305,3495,2857,2669,2081,2037,2763,1510,2559,1271,1253,1423,701
D_0__Archaea,0,23,0,0,8,0,8,0,26,5,0,2,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
