index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__uncultured;D_4__uncultured bacterium,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,29,0,37,40,42,35,35,57,72,42,0,55,68,59,38,42,25,56,56,78,44,0,49,43,56,26,72,28,0,109,41,52,44,55,43,0,55,27,40,23,90,78,33,15,46,28,35,51,37,34,41,89,33,41,40,42,32,36,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,9,71,62,29,19,39,82,50,42,47,98,60,16,0,66,38,128,86,45,61,42,82,69,54,52,72,72,66,0,0,52,67,85,100,63,31,67,46,83,70,36,40,48,54,47,83,19,65,32,96,92,66,67,54,118,113,62,24,48,0,50,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae,0,0,0,0,7,0,6,0,0,15,13,52,23,19,0,22,61,98,19,61,80,72,77,102,86,102,127,17,12,91,108,99,51,56,0,79,21,74,92,104,95,128,112,86,103,32,56,45,113,10,81,138,81,126,80,41,52,85,121,129,53,77,120,159,117,108,170,119,97,61,59,105,124,122,62,45,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Vischeria sp. CAUP Q 202,0,0,0,0,0,56,0,33,0,0,23,25,95,0,0,0,0,35,0,19,0,0,0,0,54,0,0,0,60,37,31,0,0,0,77,28,24,0,0,0,48,0,0,0,34,45,0,23,36,0,59,0,0,0,0,0,57,42,0,0,0,32,0,35,45,0,37,47,41,0,34,0,42,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1,0,0,0,0,23,392,813,63,100,438,128,0,614,125,0,0,8,0,4,0,0,15,0,0,0,0,0,4,14,0,0,0,9,0,16,0,0,8,0,0,11,3,0,0,0,10,36,6,23,0,4,0,14,0,2,0,16,0,0,0,0,12,0,15,0,0,0,0,0,2,5,8,14,13,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__uncultured Cryptomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Caenarcaniphilales;D_4__uncultured cyanobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__NS11-12 marine group,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,24,27,0,20,18,20,16,17,25,31,20,8,20,39,40,39,18,16,12,42,23,36,57,26,25,55,20,24,42,21,26,34,42,18,54,13,60,26,9,23,28,33,30,10,0,62,11,37,45,32,26,21,18,41,26,23,10,28,33,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Heterosigma akashiwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,32,84,68,0,31,0,0,0,61,39,0,0,0,17,0,17,0,0,47,0,45,24,0,0,62,0,32,0,0,0,0,71,0,0,0,0,0,0,0,12,0,0,23,0,0,0,0,0,0,0,0,27,0,16,0,46,89,32,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Trachelomonas rugulosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,24,0,17,16,0,0,46,32,31,0,0,5,47,0,0,25,0,0,0,0,0,36,0,25,12,14,0,36,27,7,0,0,0,10,10,8,0,4,11,0,0,0,0,0,44,31,11,26,23,57,30,14,32,31,75,33,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae,0,0,0,0,5,234,196,0,166,108,16,79,230,19,0,0,0,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0
